title,critic_score,critic_sentiment,audience_score,audience_sentiment
The Hangover Part II,35%,negative,52%,negative
Back in Action,30%,negative,60%,positive
Non-Stop,62%,positive,63%,positive
Set It Up,92%,positive,69%,positive
Unbroken,53%,negative,70%,positive
Uglies,14%,negative,43%,negative
Undercover Grandpa,,,30%,negative
The Six Triple Eight,56%,negative,72%,positive
Masaka Kids: A Rhythm Within,,,,
Meet Me Next Christmas,69%,positive,41%,negative
STRAW,55%,negative,69%,positive
Kevin Hart: Acting My Age,,,29%,negative
Crooked House,57%,negative,54%,negative
Spaceman,50%,negative,65%,positive
Operation Finale,60%,positive,67%,positive
The Mitchells vs. the Machines,97%,positive,89%,positive
The Garfield Movie,36%,negative,79%,positive
Overcomer,59%,negative,98%,positive
Boyhood,97%,positive,80%,positive
Official Secrets,82%,positive,89%,positive
Ace Ventura: Pet Detective,47%,negative,57%,negative
Lady Chatterley's Lover,86%,positive,73%,positive
Hot Girls Wanted,83%,positive,54%,negative
Ghostbusters: Frozen Empire,42%,negative,81%,positive
The LEGO Movie 2: The Second Part,84%,positive,67%,positive
Vacation,27%,negative,45%,negative
Bridesmaids,89%,positive,76%,positive
Christmas Break-In,,,18%,negative
Swelter,,,24%,negative
The Founder,80%,positive,82%,positive
Spiderhead,39%,negative,30%,negative
Bird Box,64%,positive,58%,negative
Robin Hood,43%,negative,58%,negative
The Princess Switch,63%,positive,52%,negative
Self/less,18%,negative,46%,negative
Groundhog Day,94%,positive,88%,positive
The Mortal Instruments: City of Bones,13%,negative,58%,negative
Daughters,100%,positive,91%,positive
Safe House,52%,negative,63%,positive
The Foreigner,66%,positive,72%,positive
The Twits,50%,negative,44%,negative
Don't Move,75%,positive,40%,negative
We're the Millers,48%,negative,77%,positive
Fifty Shades Freed,11%,negative,38%,negative
Incantation,79%,positive,65%,positive
Fall for Me,,,,
The Lost Daughter,94%,positive,56%,negative
Tyler Perry's A Madea Christmas,21%,negative,70%,positive
The Cloverfield Paradox,22%,negative,41%,negative
Bad Boys: Ride or Die,65%,positive,96%,positive
The Deliverance,34%,negative,39%,negative
The Laundromat,42%,negative,40%,negative
Elysium,64%,positive,58%,negative
The Woman in the Window,25%,negative,32%,negative
His Three Daughters,97%,positive,82%,positive
Cowboys & Aliens,44%,negative,43%,negative
In the Heights,94%,positive,94%,positive
Tarot,17%,negative,56%,negative
Dr. Seuss' the Lorax,53%,negative,63%,positive
This Is 40,52%,negative,50%,negative
About My Father,37%,negative,81%,positive
Dante's Peak,28%,negative,39%,negative
Descendant,100%,positive,64%,positive
Robin Robin,100%,positive,82%,positive
Knocked Up,90%,positive,83%,positive
Christine,73%,positive,65%,positive
Being Eddie,74%,positive,57%,negative
The Midnight Sky,49%,negative,26%,negative
Election,92%,positive,79%,positive
The 5th Wave,17%,negative,38%,negative
"I Love You, Man",82%,positive,74%,positive
The Strangers,50%,negative,48%,negative
Match Point,77%,positive,81%,positive
Harriet,74%,positive,97%,positive
